index,img_id,rank,caption,caption_cleaned,keywords,n,parents,hops,nlogP,optimiser,optimiser_desc,max_iters,num_graph_nodes,iterations,top_n_captions,keywords_type,keywords_split,start_end_tokens,keywords_len,hits,length,hits/keywords,hits/length,extra_nouns,extra_nouns_len,duplicates,duplicates_len,log_prob,log_prob_optimiser
0,20078,1,people walk down a snow covered street and a woman skiing in the snow on a ski,people walk down a snow covered street and a woman skiing in the snow on a ski,"people, skiing, ski, woman, snow, walk, street",3,5,1,3,4,logPN_HL,150,33,46,5,all,False,False,7,7,17,1.0,0.41176,[],0,"['a', 'snow']",2,-39.40048852398153,-0.3310965422183322
0,20078,2,people walk down a snow covered street and a woman skiing in the snow on the ski,people walk down a snow covered street and a woman skiing in the snow on the ski,"people, skiing, ski, woman, snow, walk, street",3,5,1,3,4,logPN_HL,150,33,46,5,all,False,False,7,7,17,1.0,0.41176,[],0,"['a', 'the', 'snow']",3,-40.55680777552509,-0.3408135107186982
0,20078,3,people walk down a snow covered street and a woman skiing on a ski in the snow,people walk down a snow covered street and a woman skiing on a ski in the snow,"people, skiing, ski, woman, snow, walk, street",3,5,1,3,4,logPN_HL,150,33,46,5,all,False,False,7,7,17,1.0,0.41176,[],0,"['a', 'snow']",2,-41.479278531301865,-0.3485653658092594
0,20078,4,people walk down a snow covered street and a woman skiing on the snow on a ski,people walk down a snow covered street and a woman skiing on the snow on a ski,"people, skiing, ski, woman, snow, walk, street",3,5,1,3,4,logPN_HL,150,33,46,5,all,False,False,7,7,17,1.0,0.41176,[],0,"['a', 'on', 'snow']",3,-41.909191803546655,-0.352178082382745
0,20078,5,people walk down a snow covered street and a woman skiing on the ski in the snow,people walk down a snow covered street and a woman skiing on the ski in the snow,"people, skiing, ski, woman, snow, walk, street",3,5,1,3,4,logPN_HL,150,33,46,5,all,False,False,7,7,17,1.0,0.41176,[],0,"['a', 'the', 'snow']",3,-42.11284738450325,-0.353889473819355
1,13910,1,dog wearing a leash on a skateboard,dog wearing a leash on a skateboard,"dog, skateboard, leash",3,5,1,3,4,logPN_HL,150,15,32,5,all,False,False,3,3,7,1.0,0.42857,[],0,['a'],1,-14.096366636982038,-0.6712555541420018
1,13910,2,dog on a leash with a skateboard,dog on a leash with a skateboard,"dog, skateboard, leash",3,5,1,3,4,logPN_HL,150,15,32,5,all,False,False,3,3,7,1.0,0.42857,[],0,['a'],1,-15.086251666346255,-0.7183929364926789
1,13910,3,dog wearing a leash with a skateboard,dog wearing a leash with a skateboard,"dog, skateboard, leash",3,5,1,3,4,logPN_HL,150,15,32,5,all,False,False,3,3,7,1.0,0.42857,[],0,['a'],1,-15.382434795425652,-0.7324968950202692
1,13910,4,dog on a skateboard and a dog on leash,dog on a skateboard and a dog on leash,"dog, skateboard, leash",3,5,1,3,4,logPN_HL,150,15,32,5,all,False,False,3,3,9,1.0,0.33333,[],0,"['dog', 'on', 'a']",3,-20.747801198218795,-0.7684370814155109
1,13910,5,dog on a skateboard with a leash,dog on a skateboard with a leash,"dog, skateboard, leash",3,5,1,3,4,logPN_HL,150,15,32,5,all,False,False,3,3,7,1.0,0.42857,[],0,['a'],1,-16.175983316766455,-0.7702849198460217
2,21711,1,three double decker bus,three double decker bus,"decker, bus, green, park, double, three",3,5,1,3,4,logPN_HL,150,28,34,5,all,False,False,6,4,4,0.66667,1.0,[],0,[],0,-0.4300375825211925,-0.0268773489075745
2,21711,2,three double decker bus on a,three double decker bus on a,"decker, bus, green, park, double, three",3,5,1,3,4,logPN_HL,150,28,34,5,all,False,False,6,4,6,0.66667,0.66667,[],0,[],0,-3.5748054352356715,-0.1489502264681529
2,21711,3,three double decker bus with a,three double decker bus with a,"decker, bus, green, park, double, three",3,5,1,3,4,logPN_HL,150,28,34,5,all,False,False,6,4,6,0.66667,0.66667,[],0,[],0,-4.581777272988419,-0.1909073863745174
2,21711,4,three double decker bus in the,three double decker bus in the,"decker, bus, green, park, double, three",3,5,1,3,4,logPN_HL,150,28,34,5,all,False,False,6,4,6,0.66667,0.66667,[],0,[],0,-5.091145925944003,-0.2121310802476668
2,21711,5,three double decker bus at a,three double decker bus at a,"decker, bus, green, park, double, three",3,5,1,3,4,logPN_HL,150,28,34,5,all,False,False,6,4,6,0.66667,0.66667,[],0,[],0,-5.3088715882307085,-0.2212029828429461
3,36003,1,view of a mirror in a school bus,view of a mirror in a school bus,"view, bus, school, mirror",3,5,1,3,4,logPN_HL,150,18,22,5,all,False,False,4,4,8,1.0,0.5,[],0,['a'],1,-16.73725600182457,-0.5230392500570178
